address_id,property_id,full_address_text,landmarks,raw_source_preserved 
ADDR021,PROP021,"Bhadruk, Lucknow, Uttar Pradesh","Bhadruk",MagicBricks preserved
ADDR022,PROP022,"Ratan Khand, Ruchi Khand 2, Sharda Nagar, Near VIP Rd, Lucknow, Uttar Pradesh 226012, Sharda Nagar, Lucknow, Uttar Pradesh Landmarks: Sharda Nagar, Rashmi Khand, Bhadruk, Near VIP Rd, Lucknow","Sharda Nagar, Rashmi Khand, Bhadruk, Near VIP Rd",MagicBricks preserved
ADDR023,PROP023,"Sec N, Ashiyana, Ruchi Khand 1, Sharda Nagar, Lucknow, Uttar Pradesh 226012, Ruchi Khand 1, Lucknow, Uttar Pradesh Landmarks: Sector N, Ashiyana, Raibareli Rd, Lucknow 226012","Sector N, Ashiyana, Raibareli Rd",MagicBricks preserved
ADDR024,PROP024,"Ratan Khand, Ruchi Khand 2, Sharda Nagar, Near VIP Rd, Lucknow, Uttar Pradesh 226012, Sharda Nagar, Lucknow, Uttar Pradesh Landmarks: Sharda Nagar, Rashmi Khand, Bhadruk, Near VIP Rd, Lucknow 226012","Sharda Nagar, Rashmi Khand, Bhadruk, Near VIP Rd",MagicBricks preserved
ADDR025,PROP025,"Ashiyana Colony, Lucknow, Uttar Pradesh Landmarks: CMS School, Emerald Mall, R ML Law university, Aashiana market","CMS School, Emerald Mall, R ML Law university, Aashiana market",MagicBricks preserved
ADDR026,PROP026,"Gomti Nagar, Lucknow, Uttar Pradesh","LDA Vishesh Khand",MagicBricks preserved
ADDR027,PROP027,"Gomti Nagar, Lucknow, Uttar Pradesh","Gomti Nagar",MagicBricks preserved
ADDR028,PROP028,"Gomti Nagar, Lucknow, Uttar Pradesh","LDA Sulab Awas",MagicBricks preserved
ADDR029,PROP029,"Gomtinagar Extension, Lucknow, Gomtinagar Extension, Lucknow, Uttar Pradesh","Gomtinagar Extension",MagicBricks preserved
ADDR030,PROP030,"Vikalp Khand, Lucknow, Vikalp Khand, Lucknow, Uttar Pradesh Landmarks: Vikalp Khand, Gomtinagar","Vikalp Khand, Gomtinagar",MagicBricks preserved
ADDR031,PROP031,"3., Gomti Nagar, Lucknow, Uttar Pradesh","Gomti Nagar",MagicBricks preserved
ADDR032,PROP032,"Gomti Nagar, Lucknow, Uttar Pradesh","Gomti Nagar",MagicBricks preserved
ADDR033,PROP033,"Gomti Nagar, Lucknow, Uttar Pradesh","LDA Sulab Awas",MagicBricks preserved
ADDR034,PROP034,"SECTOR 1, Gomti Nagar Extension, Gomti Nagar, Lucknow, Uttar Pradesh Landmarks: Dayal paradise.","Dayal paradise",MagicBricks preserved
ADDR035,PROP035,"Gomti Nagar, Lucknow, Uttar Pradesh","Gomti Nagar",MagicBricks preserved
ADDR036,PROP036,"Omaxe grand 2bhk park pool east face., Gomti Nagar, Lucknow, Uttar Pradesh Landmarks: Near ekana cricket stadium and shaheed path lucknow.","Near ekana cricket stadium and shaheed path",MagicBricks preserved
ADDR037,PROP037,"Behind Shalimar One World, Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Behind Shalimar One World, Near Ekana, Plassio, Max Hospital.","Behind Shalimar One World, Near Ekana, Plassio, Max Hospital",MagicBricks preserved
ADDR038,PROP038,"opposite Vikalp Khand Gomti Nagar, near Shivam Bharat School, Gomti Nagar, Lucknow, Uttar Pradesh Landmarks: Eldico tiraha, shivam bharat school","opposite Vikalp Khand, near Shivam Bharat School, Eldico tiraha",MagicBricks preserved
ADDR039,PROP039,"Vigyan khand Gomtinagar extension, Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: amity university lucknow campus, awadh bus-stand, kathauta chauraha Gomtinagar","amity university lucknow campus, awadh bus-stand, kathauta chauraha",MagicBricks preserved
ADDR040,PROP040,"Gomti Nagar Extention, Lucknow, Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Gomti nagar extension.","Gomti nagar extension",MagicBricks preserved
ADDR041,PROP041,"Gomti nagar extension sector 7., Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Front of ekana stadium, pallasio mall","Front of ekana stadium, pallasio mall",MagicBricks preserved
ADDR042,PROP042,"Abhyudaya Celestial, Gh-18, shalimar one world, gomti nagar extension, lucknow-226001., Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Shalimar One World, Gomti Nagar Extension","Shalimar One World, Gomti Nagar Extension",MagicBricks preserved
ADDR043,PROP043,"The Hive, A 12, Gomti Nagar Extension, bhaisora, Near Jaipuria School Lucknow, Gomtinagar Extension, Lucknow, Uttar Pradesh Landmarks: Jaipuria School Vijay Nagar Branch","Jaipuria School Vijay Nagar Branch",MagicBricks preserved
ADDR044,PROP044,"Gomtinagar Extension, Lucknow, Uttar Pradesh","Gomtinagar Extension",MagicBricks preserved
ADDR045,PROP045,"Gomtinagar Extension, Lucknow, Uttar Pradesh","Gomtinagar Extension",MagicBricks preserved
ADDR046,PROP046,"Vikas Nagar, Gomti Nagar, Lucknow, Uttar Pradesh Landmarks: Vikas Nagar","Vikas Nagar",MagicBricks preserved
ADDR047,PROP047,"Gomti Nagar, Lucknow, Vibhuti Khand, Lucknow, Uttar Pradesh Landmarks: Near Indira Gandhi Pratisthan","Near Indira Gandhi Pratisthan",MagicBricks preserved
ADDR048,PROP048,"Gomti Nagar, Lucknow, Uttar Pradesh, Gomti Nagar, Lucknow, Uttar Pradesh","Nehru Enclave",MagicBricks preserved
ADDR049,PROP049,"Gomti Nagar Extension Lucknow 226016, Gomtinagar Extension, Lucknow, Uttar Pradesh","Gomti Nagar Extension",MagicBricks preserved
ADDR050,PROP050,"Alambagh, Lucknow, Uttar Pradesh","Heavens Heights",MagicBricks preserved
ADDR051,PROP051,"Alambagh, Lucknow, Uttar Pradesh","crystal palm",MagicBricks preserved
ADDR052,PROP052,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR053,PROP053,"Manak Nagar, Lucknow, Uttar Pradesh","Manak Nagar",MagicBricks preserved
ADDR054,PROP054,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR055,PROP055,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR056,PROP056,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR057,PROP057,"Alambagh Road Hardoi By Pass Near Para, Alambagh, Lucknow, Uttar Pradesh Landmarks: NEar Alambagh Avadh Hospital Para police station","Near Alambagh Avadh Hospital Para police station",MagicBricks preserved
ADDR058,PROP058,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR059,PROP059,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR060,PROP060,"saubhagya apartment, Gopal Nagar, Lucknow, Uttar Pradesh","Gopal Nagar",MagicBricks preserved
ADDR061,PROP061,"Sujanpura alambagh Lucknow near bus stand and metro station Sujanpura alambagh Lucknow bus stand metro station, Alambagh, Lucknow, Uttar Pradesh","Near bus stand and metro station Sujanpura",MagicBricks preserved
ADDR062,PROP062,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR063,PROP063,"in front of ganpati lawn Krishna nagar, Alambagh, Lucknow, Uttar Pradesh","in front of ganpati lawn Krishna nagar",MagicBricks preserved
ADDR064,PROP064,"visheshwar nagar near gayatri nursing home, alambagh, Alambagh, Lucknow, Uttar Pradesh","visheshwar nagar near gayatri nursing home",MagicBricks preserved
ADDR065,PROP065,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR066,PROP066,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR067,PROP067,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR068,PROP068,"Chander Nagar, Lucknow, Uttar Pradesh Landmarks: Near Chander Nagar Gurudwara","Near Chander Nagar Gurudwara",MagicBricks preserved
ADDR069,PROP069,"Alambagh, Lucknow, Uttar Pradesh","Alambagh",MagicBricks preserved
ADDR070,PROP070,"557215., Alambagh, Lucknow, Uttar Pradesh Landmarks: Before The Model School","Before The Model School",MagicBricks preserved
ADDR071,PROP071,"570495 kasimpuri patri, alambagh, 226005, Alambagh, Lucknow, Uttar Pradesh","kasimpuri patri",MagicBricks preserved
ADDR077,PROP077,"Bcc Residency, B216, Balmiki Marg, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Socials Hazratganj, Novelty Cinemas.","Socials Hazratganj, Novelty Cinemas",MagicBricks preserved
ADDR078,PROP078,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR079,PROP079,"Golden Crest Apartment Prag Narayan Road Hazratganj Lucknow, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Janeshwar Park Gate No. 7","Janeshwar Park Gate No. 7",MagicBricks preserved
ADDR080,PROP080,"fortuna apartment birbal sahani marg new Hyderabad opp new Hyderabad police chowki, Hazratganj, Lucknow, Uttar Pradesh Landmarks: opposite police chowki for max safery","opposite police chowki",MagicBricks preserved
ADDR081,PROP081,"Kalidas Marg Hazrat Ganj Lucknow, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Golf Club","Golf Club",MagicBricks preserved
ADDR082,PROP082,"hazratganj neat fire station lucknow, Hazratganj, Lucknow, Uttar Pradesh","near fire station",MagicBricks preserved
ADDR083,PROP083,"Gokhly Marg, Hazratganj, Lucknow, Uttar Pradesh","Gokhly Marg",MagicBricks preserved
ADDR084,PROP084,"hazratganj, Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR085,PROP085,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR086,PROP086,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR087,PROP087,"21739 imambada Aga Baqar Lucknow, Chowk, Lucknow, Uttar Pradesh Landmarks: Ghufran maab imambada","Ghufran maab imambada",MagicBricks preserved
ADDR088,PROP088,"5-10, Lajpat Nagar, Chowk - 226003, Chowk, Lucknow, Uttar Pradesh Landmarks: Opposite Neebu Park","Opposite Neebu Park",MagicBricks preserved
ADDR089,PROP089,"Beside Hina Bazaar Chowk, Gali Katra Haider Hussain, Chowk, Lucknow, Uttar Pradesh","Beside Hina Bazaar Chowk",MagicBricks preserved
ADDR090,PROP090,"21739 imambada Aga Baqar Lucknow, Chowk, Lucknow, Uttar Pradesh Landmarks: Ghufran maab imambada","Ghufran maab imambada",MagicBricks preserved
ADDR091,PROP091,"near river dale convent school, Janrailganj, Lucknow, Thakurganj, Lucknow, Uttar Pradesh","near river dale convent school",MagicBricks preserved
ADDR094,PROP094,"Bcc Residency, B216, Balmiki Marg, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Socials Hazratganj, Novelty Cinemas.","Socials Hazratganj, Novelty Cinemas",MagicBricks preserved
ADDR095,PROP095,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR096,PROP096,"Golden Crest Apartment Prag Narayan Road Hazratganj Lucknow, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Janeshwar Park Gate No. 7","Janeshwar Park Gate No. 7",MagicBricks preserved
ADDR097,PROP097,"fortuna apartment birbal sahani marg new Hyderabad opp new Hyderabad police chowki, Hazratganj, Lucknow, Uttar Pradesh Landmarks: opposite police chowki for max safery","opposite police chowki",MagicBricks preserved
ADDR098,PROP098,"Kalidas Marg Hazrat Ganj Lucknow, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Golf Club","Golf Club",MagicBricks preserved
ADDR099,PROP099,"hazratganj neat fire station lucknow, Hazratganj, Lucknow, Uttar Pradesh","near fire station",MagicBricks preserved
ADDR100,PROP100,"Gokhly Marg, Hazratganj, Lucknow, Uttar Pradesh","Gokhly Marg",MagicBricks preserved
ADDR101,PROP101,"hazratganj, Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR102,PROP102,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR103,PROP103,"Jewel Apartment Jopling Road Hazratganj Lucknow, Hazratganj, Lucknow, Uttar Pradesh Landmarks: Krishi Bhawan","Krishi Bhawan",MagicBricks preserved
ADDR104,PROP104,"Hazratganj, Lucknow, Uttar Pradesh","Hazratganj",MagicBricks preserved
ADDR105,PROP105,"Narhi, Lucknow, Uttar Pradesh","Narhi",MagicBricks preserved
ADDR106,PROP106,"Mehatab bagh colony, Chowk, Lucknow, Uttar Pradesh","Mehatab bagh colony",MagicBricks preserved
ADDR107,PROP107,"5-10, Lajpat Nagar, Chowk - 226003, Chowk, Lucknow, Uttar Pradesh Landmarks: Opposite Neebu Park","Opposite Neebu Park",MagicBricks preserved
ADDR108,PROP108,"Beside Hina Bazaar Chowk, Gali Katra Haider Hussain, Chowk, Lucknow, Uttar Pradesh","Beside Hina Bazaar Chowk",MagicBricks preserved
ADDR109,PROP109,"21739 imambada Aga Baqar Lucknow, Chowk, Lucknow, Uttar Pradesh Landmarks: Ghufran maab imambada","Ghufran maab imambada",MagicBricks preserved
ADDR110,PROP110,"near river dale convent school, Janrailganj, Lucknow, Thakurganj, Lucknow, Uttar Pradesh","near river dale convent school",MagicBricks preserved
